Source_File,phone,minTime,maxTime,Preceding Token,Following Token,isWordInitial,Containing Word,Phones Per Second,K,G,B,P,D,T,ʈ,k,g,b,p,d,t,tsʰ,pʲ,tɕʰ,tɕ,ʈʂ,tʰ,kʰ,ʈʂʰ,pʷ,tʷ,ts,pʰ,kʷ,tʲ,tɕʷ
F03B_man_isolated.csv,p,123.95376,124.01376,,a˥˩,True,"Interval(123.95376, 124.13376, 爸)",7.777777777777851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ts,124.39377,124.50377,a˥,aj˥˩,True,"Interval(124.39377, 124.62376, 在)",9.243619801514265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,124.62376,124.69376,aj˥˩,a˥˩,True,"Interval(124.62376, 125.01376, 大学)",8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,125.01376,125.09376,e˧˥,aw˥,True,"Interval(125.01376, 125.60376, 教书)",7.936507936507994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʰ,126.64674,126.76674,,a˥,True,"Interval(126.64674, 126.89674, 她)",8.888888888888832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,127.22674,127.35674,aw˥˩,i˨˩˦,True,"Interval(127.22674, 127.40674, 几)",10.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,kʰ,127.40674,127.53674,i˨˩˦,w,True,"Interval(127.40674, 127.64674, 块)",10.666666666666565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,p,127.89674,127.95674,n,aw˥,False,"Interval(127.64674, 128.22674, 面包)",10.006731801393526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʰ,129.80748,129.90748,ŋ,a˥,True,"Interval(129.80748, 130.01748, 她)",9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕʰ,130.25748,130.46748,ej˧˥,y˥˩,False,"Interval(130.01748, 130.58748, 回去)",8.850079650716811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂ,131.52054,131.59054,,o˥˩,True,"Interval(131.52054, 131.66054, 这)",9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂ,131.66054,131.78054,o˥˩,ʐ̩˥,True,"Interval(131.66054, 132.13054, 支歌)",8.571428571428712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,k,131.86054,131.95054,ʐ̩˥,o˥,False,"Interval(131.66054, 132.13054, 支歌)",10.091743119266287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʲ,132.13054,132.23054,o˥,i˧˥,True,"Interval(132.13054, 132.53054, 的确)",8.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕʷ,132.31054,132.45054,i˧˥,e˥˩,False,"Interval(132.13054, 132.53054, 的确)",8.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʲ,132.70054,132.92054,aw˨˩˦,i˥,False,"Interval(132.53054, 133.10054, 好听)",7.489265386279699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʰ,134.24882,134.42882,aj˥˩,w,False,"Interval(134.02882, 134.58882, 外婆)",11.340206185567023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
